Sr,UDISE Code,School Name,State,District,Block,Rural / Urban,Cluster,Ward,Mohalla,Pincode,lat,lng,Panchayat,City,Municipality,Assembly Const.,Parl. Constituency,School Category,Medium of Instruction,Visit of school for / by,School Management,Medium 1,Acad. Inspections,School Type,Medium 2,CRC Coordinator,Lowest & Highest Class,Medium 3,Block Level Officers,Pre Primary,Medium 4,State/District Officers,Year of Establishment,Is this a Shift School?,Anganwadi At Premises,Year of Recognition-Pri.,Building Status,Anganwadi Boys,Year of Recognition-Upr.Pri.,Boundary wall,Anganwadi Girls,Year of Recognition-Sec.,No.of Building Blocks,Anganwadi Worker,Year of Recognition-Higher Sec.,Pucca Building Blocks,Residential School,Is Special School for CWSN?,Residential Type,Affiliation Board-Sec,Availability of Ramps,Minority School,Affiliation Board-HSec,Availability of Handrails,Approachable By All Weather Road,"('Toilets', 'Total', 'Boys , Girls')","('Toilets', 'Functional', 'Boys , Girls')","('Toilets', 'Func. CWSN Friendly', 'Boys , Girls')","('Toilets', 'Urinal ', 'Boys , Girls')",Total Class Rooms,Drinking Water Available,In Good Condition,Drinking Water Functional,Needs Minor Repair,Rain Water Harvesting,Needs Major Repair,Playground Available,Furniture Availability,Handwash Near Toilet,Other Rooms,Electricity Availability,Handwash Facility for Meal,Library Availability,Solar Panel,Separate Room for HM,Medical checkups,"('No.of Students Received (DCF 5.1 , 5.2)', 'Free text books', 'Primary , Up.Primary')","('No.of Students Received (DCF 5.1 , 5.2)', 'Transport', 'Primary , Up.Primary')","('No.of Students Received (DCF 5.1 , 5.2)', 'Free uniform', 'Primary , Up.Primary')",ICT Lab,Internet,Desktop,Laptop,Tablet,Printer,Projector,DTH,DigiBoard,"('RTE Information', 'Instructional days', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'Avg.School hrs.Std.', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'Avg.School hrs.Tch', 'Pri  Up.Pri  Sec.  H.Sec')","('RTE Information', 'CCE', 'Pri  Up.Pri  Sec.  H.Sec')",SMC Exists,SMC & SMDC Same,SMDC Constituted,Text Books Received,Special Training,Material for Training,Grants Receipt,Grants Expenditure,"('Teachers', 'Classes Taught', '1-Primary')","('Teachers', 'Classes Taught', '2-Up.Pr.')","('Teachers', 'Classes Taught', '3-Pr. & Up.Pr.')","('Teachers', 'Classes Taught', '5-Sec. only')","('Teachers', 'Classes Taught', '6-H Sec only.')","('Teachers', 'Classes Taught', '7-Up pri and Sec.')","('Teachers', 'Classes Taught', '8-Sec and H Sec')","('Teachers', 'Classes Taught', '10- Pre-Primary Only.')","('Teachers', 'Classes Taught', '11-Pre- Pri & Pri')","('Teachers', 'Classes Taught', 'Teachers Aged above 55')","('Teachers', 'Classes Taught', 'No. of Total Teacher Received Service Training')","('Teachers', 'Classes Taught', 'Total Teacher Involve in Non Training Assignment')","('Teachers', 'Total')","('Teachers', 'Nature of Appointment')","('Teachers', 'Gender')","('Teachers', 'Regular')","('Teachers', 'Male')","('Teachers', 'Part-time')","('Teachers', 'Female')","('Teachers', 'Contract')","('Teachers', 'Transgender')","('Teachers', 'Below Graduate')","('Teachers', 'Graduate')","('Teachers', 'Post Graduate and Above')","('Teachers', 'Total Teacher Trained in Computer')",Diploma or Certificate in basic teachers’ training,Bachelor of Elementary Education \(B.El.Ed.\),B.Ed. or Equivalent,M.Ed. or Equivalent,Other,None,Diploma/degree in special Education,Pursuing any Relevant Professional Course
0,07  05  01  ND  402,"Govt. Boys Sr. Sec. School, Pandara Road, New Delhi", Delhi , New Delhi , DOE, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.5895128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 5 - Up. Pr. Secondary and Higher Sec ,,, 1-Department of Education , 04-Hindi ,11, 1-Boys , 19-English ,10, 6  -   12 ,,5, 2-No ,,0,1948, 2-No , 2-No,, 4-Government school in a rent free building ,0,1948, 1-Pucca ,0,1948,2, NA,1948,1, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 20 0 , 19 0 , 1 0 , 21 0 ,12, 1-Yes,6, Yes,6, 1-Yes,0, 1-Yes,500, 1-Yes ,7, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 0 176, 0 0, 0 176, 1-Yes , 1-Yes ,35,0,24,2,1, 2-No ,1, 0 235 235 220, 0.0 6.3 6.3 6.3, 0.0 4.3 5.3 5.3, 2-No 1-Yes 1-Yes 1-Yes, 1-Yes , 1-Yes , 2-No , 1-Yes ,, 1-Yes ,625000,625000,0,9,0,6,10,0,0,0,0,3,0,0,25, ,,19,23,0,2,6,0,0,5,20,11,0,0,18,0,6,0,1,0
1,07  05  07  ND  408,"Navyug Primary School, Jor Bagh, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.5905128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 1 - Primary ,,, 3-Local body , 19-English ,3, 3-Co-educational ,,10, 1  -   5 ,,3, 2-No ,,0,2005, 2-No , 2-No,2005, 3-Government ,0,, 1-Pucca ,0,,1, NA,,1, 2-No, 2-No ,,, 1-Yes , 2-No,, 2-No , 1-Yes, 3 3 , 3 3 , 0 0 , 3 3 ,10, 1-Yes,10, Yes,0, 1-Yes,0, 1-Yes,201, 1-Yes ,6, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 167 0, 0 0, 167 0, 2-No , 1-Yes ,10,0,0,3,0, 2-No ,0, 235 0 0 0, 5.3 0.0 0.0 0.0, 6.3 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 1-Yes , 1-Yes ,, 2-No ,, 1-Yes ,55000,55000,8,0,0,0,0,0,0,0,0,0,0,0,8, ,,5,2,0,6,3,0,0,2,6,8,0,0,7,0,0,0,1,0
2,07  05  07  ND  410,"NP Co-Ed Sr. Secondary School, Lodhi Road, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 905-NDMC-Charge No.5 ,,110003,28.5915128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 3-Local body , 04-Hindi ,4, 3-Co-educational , 19-English ,5, 1  -   12 , 18-Urdu ,2, 2-No ,,2,1945, 2-No , 2-No,1945, 3-Government ,0,1986, 1-Pucca ,0,2011,2, NA,2013,2, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 15 13 , 12 12 , 1 1 , 12 12 ,43, 1-Yes,43, Yes,0, 1-Yes,0, 1-Yes,1300, 1-Yes ,30, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 544 314, 0 0, 421 288, 2-No , 1-Yes ,19,2,0,2,1, 1-Yes ,19, 219 219 220 190, 6.0 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 1-Yes , 2-No , 1-Yes ,, 2-No ,19500,19500,23,11,0,12,10,0,0,0,0,14,0,0,56, ,,41,18,0,38,15,0,4,13,39,17,3,0,46,3,4,0,0,0
3,07  05  07  ND  411,"NP Co-Ed Sr. Secondary School, Lodhi Estate, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.5925128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 3-Local body , 04-Hindi ,4, 3-Co-educational , 18-Urdu ,2, 0  -   12 , 19-English ,2, 1-Yes ,,0,1962, 2-No , 2-No,1974, 3-Government ,0,1974, 1-Pucca ,0,1989,1, NA,2010,1, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 10 8 , 9 8 , 1 0 , 9 8 ,31, 1-Yes,31, Yes,0, 1-Yes,0, 1-Yes,1200, 1-Yes ,19, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 360 313, 0 0, 0 0, 2-No , 1-Yes ,21,0,0,2,1, 1-Yes ,21, 220 220 220 220, 5.3 6.0 6.0 6.0, 6.3 6.3 6.3 6.3, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 2-No , 2-No , 1-Yes ,, 1-Yes ,125000,125000,14,7,0,9,11,0,0,2,0,9,0,0,43, ,,32,14,0,29,11,0,4,16,23,7,7,2,25,4,3,0,2,0
4,07  05  07  ND  413,"NP Co-Ed Primary School, Kaka Nagar, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 901-NDMC-Charge No.1 ,,110003,28.5935128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 1 - Primary ,,, 3-Local body , 04-Hindi ,4, 3-Co-educational , 18-Urdu ,16, 0  -   5 ,,4, 1-Yes ,,0,1972, 2-No , 2-No,1972, 3-Government ,0,, 1-Pucca ,0,,3, NA,,2, 2-No, 2-No ,,, 1-Yes , 2-No,, 1-Yes , 1-Yes, 5 5 , 4 4 , 1 1 , 5 5 ,12, 1-Yes,12, Yes,0, 1-Yes,0, 1-Yes,317, 1-Yes ,6, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 263 0, 0 0, 0 0, 2-No , 1-Yes ,7,0,0,1,1, 1-Yes ,0, 220 0 0 0, 5.3 0.0 0.0 0.0, 6.3 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 2-No , 2-No , 2-No , 2-No ,, 2-No ,136170,136170,12,0,0,0,0,0,0,2,0,2,0,0,14, ,,9,6,0,8,5,0,0,10,4,1,6,0,6,0,2,0,0,0
5,07  05  07  ND  505,"NP Co-Ed Secondary School, Aliganj, New Delhi", Delhi , New Delhi , NDMC, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 905-NDMC-Charge No.5 ,,110003,28.5945128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 6 - Pr. Up Pr. and Secondary Only ,,, 3-Local body , 04-Hindi ,2, 3-Co-educational ,,10, 0  -   10 ,,4, 1-Yes ,,0,1974, 2-No , 2-No,1974, 3-Government ,0,2014, 1-Pucca ,0,2017,3, NA,,3, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No,, 1-Yes , 1-Yes, 3 3 , 2 2 , 1 1 , 1 1 ,12, 1-Yes,12, Yes,0, 2-No,0, 1-Yes,372, 1-Yes ,16, 1-Yes, 1-Yes , 1-Yes , 1-Yes, 1-Yes , 1-Yes, 171 93, 0 0, 171 93, 2-No , 1-Yes ,0,0,0,1,2, 2-No ,3, 212 220 220 0, 5.3 6.0 6.0 0.0, 6.3 6.3 6.3 0.0, 1-Yes 1-Yes 2-No 2-No, 1-Yes , 1-Yes , 2-No , 1-Yes ,, 1-Yes ,125000,125000,5,11,0,1,1,0,0,2,0,5,0,0,20, ,,13,8,0,12,7,0,2,11,7,4,4,0,10,3,3,0,0,0
6,07  05  09  ND  402,"Kendriya Vidyalaya, Pragati Vihar Lodhi Road New Delhi", Delhi , New Delhi , KVS, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 905-NDMC-Charge No.5 ,,110003,28.5955128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 92-Kendriya Vidyalaya / Central School , 19-English ,3, 3-Co-educational ,,11, 1  -   12 ,,3, 2-No ,,0,1983, 1-Yes , 2-No,1983, 4-Government school in a rent free building ,0,1983, 1-Pucca ,0,1983,1, NA,1983,1, 2-No, 2-No ,, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 1-Yes , 1-Yes, 21 21 , 20 20 , 1 1 , 20 20 ,31, 1-Yes,31, Yes,0, 1-Yes,0, 1-Yes,1593, 1-Yes ,0, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 1-Yes , 1-Yes ,100,0,13,13,30, 1-Yes ,0, 234 234 234 234, 6.0 6.0 6.0 6.0, 8.0 8.0 8.0 8.0, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 1-Yes , 2-No , 2-No ,, 2-No ,0,0,13,11,0,6,10,0,0,0,0,8,0,0,40, ,,39,13,0,27,1,0,0,23,17,19,1,0,34,0,4,0,1,0
7,07  05  12  ND  201,"R. S. Junior Modern Public School, Humanyun Road New Delhi", Delhi , New Delhi , NDMCUNAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 905-NDMC-Charge No.5 ,,110003,28.5965128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 1 - Primary ,,, 5-Private Unaided (Recognized) , 19-English ,0, 3-Co-educational ,,2, 0  -   5 ,,0, 1-Yes ,,1,1961, 2-No , 2-No,1961, 1-Private ,0,, 1-Pucca ,0,,3, NA,,3, 2-No, 2-No ,,, 2-No , 2-No,, NA , 1-Yes, 32 32 , 30 30 , 2 2 , 46 2 ,53, 1-Yes,53, Yes,0, 1-Yes,0, 1-Yes,1940, 1-Yes ,11, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 1-Yes, 0 0, 0 0, 0 0, 2-No , 1-Yes ,0,8,0,4,4, 2-No ,55, 182 0 0 0, 5.4 0.0 0.0 0.0, 5.4 0.0 0.0 0.0, 1-Yes 1-Yes 1-Yes 1-Yes, 1-Yes , 1-Yes ,, 2-No ,, 2-No ,0,0,75,0,0,0,0,0,0,28,0,13,0,0,103, ,,63,8,0,95,40,0,0,60,43,103,15,3,68,4,12,0,1,0
8,07  05  12  ND  301,"Progress Public School, Lodhi Estate New Delhi", Delhi , New Delhi , NDMCUNAIDED, 2-Urban , 2026141-Navyug Sr.Sec.school Laxmi Bai Nagar, 906-NDMC-Charge No.6 ,,110003,28.5975128,77.2192949, NA , New Delhi Delhi  , NDMC, 40-New Delhi ,, 1 - Primary ,,, 5-Private Unaided (Recognized) , 19-English ,0, 3-Co-educational ,,6, 1  -   5 ,,1, 2-No ,,0,1980, 2-No , 2-No,1990, 1-Private ,0,, 1-Pucca ,0,,2, NA,,2, 2-No, 2-No ,,, 1-Yes , 2-No,, 1-Yes , 1-Yes, 8 8 , 4 4 , 4 4 , 4 4 ,5, 1-Yes,5, Yes,0, 1-Yes,0, 1-Yes,230, 1-Yes ,3, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 2-No, 0 0, 0 0, 0 0, 2-No , 2-No ,0,0,0,0,0, 2-No ,0, 220 0 0 0, 7.0 0.0 0.0 0.0, 7.0 0.0 0.0 0.0, 1-Yes 2-No 2-No 2-No, 2-No , 2-No , 2-No , 2-No ,, 2-No ,0,0,5,0,0,0,0,0,0,0,0,1,0,0,5, ,,5,0,0,5,0,0,0,3,2,0,0,0,5,0,0,0,0,0
9,07  06  11  00  101,"Govt. Lady Noyce Sr. Sec. School for the Deaf, Behind Ferozshah Kotla Ground, Delhi Gate, Delhi", Delhi , Central , DSW, 2-Urban ," 2162050-MCPS(Coed) Charkhe Walan, Gali", 153-Darya Ganj ,,110003,28.5985128,77.2192949, NA , Central Delhi  , South DMC, 41-Jangpura ,, 3 - Pr. with Up.Pr. sec. and H.Sec. ,,, 90-Social welfare Department , 04-Hindi ,6, 3-Co-educational ,,6, 0  -   12 ,,1, 1-Yes ,,0,1931, 2-No , 2-No,1931, 4-Government school in a rent free building ,0,1931, 1-Pucca ,0,1980,8, NA,2010,2, 1-Yes, 1-Yes , 3-Private, 1-CBSE , 1-Yes , 2-No, 1-CBSE , 2-No , 1-Yes, 11 15 , 10 10 , 1 5 , 10 10 ,44, 1-Yes,44, Yes,0, 1-Yes,0, 1-Yes,712, 1-Yes ,21, 1-Yes, 1-Yes , 1-Yes , 2-No, 1-Yes , 2-No, 0 0, 0 0, 0 0, 2-No , 1-Yes ,12,0,0,1,0, 1-Yes ,0, 220 220 220 220, 5.3 5.3 5.3 5.3, 5.3 5.3 5.3 5.3, 1-Yes 1-Yes 1-Yes 1-Yes, 2-No , 2-No , 2-No , 1-Yes ,, 2-No ,0,0,13,4,0,8,0,0,0,4,0,4,0,0,29, ,,15,13,0,16,14,0,3,4,22,0,0,0,3,0,0,0,26,0
